Company,Country,Patent (Raw),Patent (Cleaned),Ambiguous
"B1 Institute of Image Technology, INC.",AL,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",AL,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",AT,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",AT,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",AT,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",AT,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",AU,AU 2021266245,AU2021266245,False
"B1 Institute of Image Technology, INC.",AU,AU 2022228227,AU2022228227,False
"B1 Institute of Image Technology, INC.",AU,AU 2022228228,AU2022228228,False
"B1 Institute of Image Technology, INC.",AU,AU 2022228372,AU2022228372,False
"B1 Institute of Image Technology, INC.",AU,AU 2022229691,AU2022229691,False
"B1 Institute of Image Technology, INC.",AU,AU 2023214310,AU2023214310,False
"B1 Institute of Image Technology, INC.",AU,AU 2023214311,AU2023214311,False
"B1 Institute of Image Technology, INC.",AU,AU 2023214313,AU2023214313,False
"B1 Institute of Image Technology, INC.",AU,AU 2023214314,AU2023214314,False
"B1 Institute of Image Technology, INC.",AU,AU 2023214315,AU2023214315,False
"B1 Institute of Image Technology, INC.",AU,AU 2024202565,AU2024202565,False
"B1 Institute of Image Technology, INC.",AU,AU 2024202566,AU2024202566,False
"B1 Institute of Image Technology, INC.",AU,AU 2024202567,AU2024202567,False
"B1 Institute of Image Technology, INC.",AU,AU 2024202568,AU2024202568,False
"B1 Institute of Image Technology, INC.",AU,AU 2024202570,AU2024202570,False
"B1 Institute of Image Technology, INC.",BE,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",BE,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",BE,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",BE,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",BG,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",BG,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",CH,"EP 3,975,559",EP3975559,False
"B1 Institute of Image Technology, INC.",CH,"EP 4,387,232",EP4387232,False
"B1 Institute of Image Technology, INC.",CH,"EP 4,507,308",EP4507308,False
"B1 Institute of Image Technology, INC.",CH,"EP 4,510,587",EP4510587,False
"B1 Institute of Image Technology, INC.",CN,CN 110024407,CN110024407,False
"B1 Institute of Image Technology, INC.",CN,CN 113873260,CN113873260,False
"B1 Institute of Image Technology, INC.",CN,CN 113873261,CN113873261,False
"B1 Institute of Image Technology, INC.",CN,CN 113873262,CN113873262,False
"B1 Institute of Image Technology, INC.",CN,CN 113891096,CN113891096,False
"B1 Institute of Image Technology, INC.",CN,CN 114143550,CN114143550,False
"B1 Institute of Image Technology, INC.",CN,CN 114245118,CN114245118,False
"B1 Institute of Image Technology, INC.",CN,CN 114245119,CN114245119,False
"B1 Institute of Image Technology, INC.",CN,CN 114245120,CN114245120,False
"B1 Institute of Image Technology, INC.",CN,CN 114245123,CN114245123,False
"B1 Institute of Image Technology, INC.",CN,CN 114245124,CN114245124,False
"B1 Institute of Image Technology, INC.",CN,CN 114245125,CN114245125,False
